wall,mono,gpu_temp_c,gpu_util,mem_util,sm_mhz,power_w,pstate,throttle,mem_avail_kb,mem_free_kb,committed_kb,dirty_kb,writeback_kb,psi_cpu_avg10,psi_mem_avg10,psi_io_avg10,load1,nvme_temp_c,tz0_c,tz1_c,tz2_c,tz3_c,tz4_c,tz5_c,tz6_c
# start 2026-08-28 09:27:17 PDT boot_id=a5a10461-494e-4155-aa2d-26b2c50c8656
2026-08-28 09:27:17,1477.7,53,0,0,2411,12.56,P0,0x0000000000000000,72088836,39898076,48277828,39972,0,0.04,0.00,0.00,1.11,50,63,56,57,56,63,55,58
2026-08-28 09:27:18,1478.7,53,0,0,2411,12.65,P0,0x0000000000000000,72091768,39900944,48286020,33252,0,0.04,0.00,0.00,1.11,50,58,55,56,55,58,55,56
2026-08-28 09:27:19,1479.7,53,0,0,2411,12.65,P0,0x0000000000000000,72089828,39898952,48284924,34012,0,0.57,0.00,0.00,1.11,50,56,54,55,55,56,55,55
2026-08-28 09:27:20,1480.7,53,0,0,2411,12.63,P0,0x0000000000000000,72096496,39905548,48284932,35164,12,0.57,0.00,0.00,1.02,50,55,54,55,55,55,55,55
2026-08-28 09:27:21,1481.7,53,0,0,2411,12.63,P0,0x0000000000000000,72085540,39894568,48283148,36536,0,0.47,0.00,0.00,1.02,50,55,54,54,55,55,55,55
2026-08-28 09:27:22,1482.7,53,0,0,2411,12.60,P0,0x0000000000000000,72077796,39886788,48284588,37060,20,0.47,0.00,0.00,1.02,50,55,54,55,54,55,55,55
2026-08-28 09:27:23,1483.7,53,0,0,2411,12.61,P0,0x0000000000000000,72089108,39898016,48284588,34028,0,0.38,0.00,0.00,1.02,50,55,54,54,54,55,55,55
2026-08-28 09:27:24,1484.7,53,0,0,2411,12.61,P0,0x0000000000000000,72090344,39899224,48285204,37112,4,0.38,0.00,0.00,1.02,50,55,54,54,54,55,55,55
2026-08-28 09:27:25,1485.7,53,0,0,2411,12.62,P0,0x0000000000000000,72081864,39890720,48285228,33688,0,0.31,0.00,0.00,1.02,50,55,54,55,54,55,55,55
2026-08-28 09:27:26,1486.7,53,0,0,2411,12.60,P0,0x0000000000000000,72100844,39909664,48280332,34200,0,0.31,0.00,0.00,1.02,50,56,55,55,55,55,55,56
2026-08-28 09:27:27,1487.7,53,0,0,2411,12.59,P0,0x0000000000000000,72110284,39917800,48277040,33872,0,0.25,0.00,0.00,1.02,50,55,54,55,55,55,55,55
2026-08-28 09:27:28,1488.7,53,0,0,2411,12.58,P0,0x0000000000000000,72098504,39905920,48276996,37924,0,0.25,0.00,0.00,1.02,50,55,54,54,54,55,55,55
2026-08-28 09:27:29,1489.7,53,0,0,2411,12.61,P0,0x0000000000000000,72088492,39895836,48272804,36128,0,0.39,0.00,0.00,1.02,50,56,54,55,55,56,55,55
2026-08-28 09:27:30,1490.7,53,0,0,2411,12.57,P0,0x0000000000000000,72119004,39926320,48272812,35800,0,0.39,0.00,0.00,0.94,50,55,54,54,55,55,55,55
2026-08-28 09:27:31,1491.7,53,0,0,2411,12.60,P0,0x0000000000000000,72124440,39931732,48272916,37532,0,0.32,0.00,0.00,0.94,50,55,54,54,54,55,55,55
2026-08-28 09:27:32,1492.7,53,0,0,2411,12.67,P0,0x0000000000000000,72121756,39929008,48275624,35140,0,0.32,0.00,0.00,0.94,50,55,54,54,54,55,55,55
2026-08-28 09:27:33,1493.7,53,0,0,2411,12.67,P0,0x0000000000000000,72116972,39924040,48278744,34368,0,0.26,0.00,0.00,0.94,50,55,54,54,54,55,55,55
2026-08-28 09:27:34,1494.7,53,0,0,2411,12.69,P0,0x0000000000000000,72118400,39925432,48279100,35268,0,0.26,0.00,0.00,0.94,50,55,54,55,55,55,55,55
2026-08-28 09:27:35,1495.7,53,0,0,2411,12.65,P0,0x0000000000000000,72124360,39931384,48282116,37708,0,0.39,0.00,0.00,0.86,50,55,54,55,55,55,55,55
2026-08-28 09:27:36,1496.7,53,0,0,2411,12.64,P0,0x0000000000000000,72132976,39939944,48279020,34436,0,0.39,0.00,0.00,0.86,50,55,54,54,54,55,55,55
2026-08-28 09:27:37,1497.7,53,0,0,2411,12.65,P0,0x0000000000000000,72139056,39946004,48279284,33872,0,0.32,0.00,0.00,0.86,50,55,54,54,54,55,55,55
2026-08-28 09:27:38,1498.7,53,0,0,2411,12.61,P0,0x0000000000000000,72128064,39935000,48279284,35872,0,0.32,0.00,0.00,0.86,50,55,54,54,54,55,55,55
2026-08-28 09:27:39,1499.7,53,0,0,2411,12.64,P0,0x0000000000000000,72117588,39924372,48276536,36500,0,0.26,0.00,0.00,0.86,50,56,54,54,54,56,55,55
2026-08-28 09:27:40,1500.7,53,0,0,2411,12.62,P0,0x0000000000000000,72108748,39915488,48276316,35240,0,0.26,0.00,0.00,0.79,50,57,54,57,54,55,55,55
2026-08-28 09:27:41,1501.7,53,0,0,2411,12.59,P0,0x0000000000000000,72061568,39867640,48367224,35096,0,0.21,0.00,0.00,0.79,50,56,55,55,55,56,55,55
2026-08-28 09:27:42,1502.7,53,0,0,2411,12.58,P0,0x0000000000000000,72066100,39872148,48280660,34684,0,0.21,0.00,0.00,0.79,50,56,55,55,55,56,55,55
2026-08-28 09:27:43,1503.7,53,0,0,2411,12.54,P0,0x0000000000000000,72068912,39874888,48277340,34080,12,0.17,0.00,0.00,0.79,50,55,54,55,54,55,55,55
2026-08-28 09:27:44,1504.7,53,0,0,2411,12.53,P0,0x0000000000000000,72048648,39854620,48277436,26200,184,0.17,0.00,0.00,0.79,50,55,54,54,54,55,55,55
2026-08-28 09:27:45,1505.7,53,0,0,2411,12.54,P0,0x0000000000000000,72051396,39857268,48277452,24804,0,0.14,0.00,0.00,0.73,50,55,54,54,55,55,55,55
2026-08-28 09:27:46,1506.7,53,0,0,2411,12.53,P0,0x0000000000000000,72056648,39862416,48277452,27168,4,0.14,0.00,0.00,0.73,50,55,54,54,54,55,55,55
2026-08-28 09:27:47,1507.7,53,0,0,2411,12.50,P0,0x0000000000000000,72057468,39863204,48277588,28688,0,0.11,0.00,0.00,0.73,50,55,54,54,54,55,55,55
2026-08-28 09:27:48,1508.7,53,0,0,2411,12.59,P0,0x0000000000000000,72062444,39868140,48277588,26480,4,0.11,0.00,0.00,0.73,50,55,54,54,54,55,55,55
2026-08-28 09:27:49,1509.7,53,0,0,2411,12.62,P0,0x0000000000000000,72081700,39887312,48283232,5092,0,0.45,0.00,0.00,0.73,50,55,54,54,54,55,55,54
2026-08-28 09:27:50,1510.7,53,0,0,2411,12.57,P0,0x0000000000000000,72081232,39886672,48285112,8156,0,0.45,0.00,0.00,0.67,50,56,54,55,55,56,55,55
2026-08-28 09:27:51,1511.7,53,0,0,2411,12.56,P0,0x0000000000000000,72054132,39859492,48285460,2564,384,0.37,0.00,0.00,0.67,50,56,54,55,55,56,55,55
2026-08-28 09:27:52,1512.7,53,0,0,2411,12.58,P0,0x0000000000000000,72062620,39867956,48285480,2660,0,0.37,0.00,0.00,0.67,50,55,54,54,54,55,55,55
2026-08-28 09:27:53,1513.7,53,0,0,2411,12.57,P0,0x0000000000000000,72044816,39850084,48285484,2940,0,0.30,0.00,0.00,0.67,50,55,54,54,54,55,55,55
2026-08-28 09:27:54,1514.7,53,0,0,2411,12.55,P0,0x0000000000000000,72052000,39857140,48282384,3596,4,0.30,0.00,0.00,0.67,50,55,54,54,54,55,55,55
2026-08-28 09:27:55,1515.7,53,0,0,2411,12.58,P0,0x0000000000000000,72039580,39844620,48282384,5924,0,0.25,0.00,0.00,0.62,50,55,54,54,55,55,55,55
2026-08-28 09:27:56,1516.7,53,0,0,2411,12.61,P0,0x0000000000000000,72056132,39861104,48272504,3996,0,0.25,0.00,0.00,0.62,50,55,54,54,54,55,55,55
2026-08-28 09:27:57,1517.7,53,0,0,2411,12.60,P0,0x0000000000000000,72050568,39855512,48272504,5892,0,0.20,0.00,0.00,0.62,50,55,54,54,54,55,55,55
2026-08-28 09:27:58,1518.7,53,0,0,2411,12.61,P0,0x0000000000000000,72057768,39862632,48272504,3560,0,0.20,0.00,0.00,0.62,50,55,54,54,54,55,55,54
2026-08-28 09:27:59,1519.7,53,0,0,2411,12.63,P0,0x0000000000000000,72016372,39821176,48284888,4052,0,0.35,0.00,0.00,0.62,50,56,54,55,55,56,55,55
2026-08-28 09:28:00,1520.7,53,0,0,2411,12.69,P0,0x0000000000000000,72046140,39850912,48285332,4860,16,0.35,0.00,0.00,0.89,50,55,54,54,54,55,55,55
2026-08-28 09:28:01,1521.7,53,0,0,2411,12.66,P0,0x0000000000000000,72043016,39847740,48285324,3752,0,0.28,0.00,0.00,0.89,50,55,54,54,54,55,55,55
2026-08-28 09:28:02,1522.7,53,0,0,2411,12.62,P0,0x0000000000000000,72037860,39842528,48285332,2792,0,0.28,0.00,0.00,0.89,50,55,54,54,54,54,55,54
2026-08-28 09:28:03,1523.7,53,0,0,2411,12.62,P0,0x0000000000000000,72061912,39866392,48281972,2496,36,0.23,0.00,0.00,0.89,50,55,54,54,55,55,55,55
2026-08-28 09:28:04,1524.7,53,0,0,2411,12.62,P0,0x0000000000000000,72023484,39827944,48286068,2828,32,0.23,0.00,0.00,0.89,50,55,54,54,55,55,55,55
2026-08-28 09:28:05,1525.7,53,0,0,2411,12.61,P0,0x0000000000000000,72038268,39842616,48286068,1216,16,0.37,0.00,0.00,0.82,50,55,54,54,54,55,55,55
2026-08-28 09:28:06,1526.7,53,0,0,2411,12.60,P0,0x0000000000000000,72068072,39872376,48286076,7464,4,0.37,0.00,0.00,0.82,50,55,54,54,54,55,55,55
2026-08-28 09:28:07,1527.7,53,0,0,2411,12.62,P0,0x0000000000000000,72039912,39844180,48294524,4412,16,0.30,0.00,0.00,0.82,50,57,55,55,55,57,55,55
2026-08-28 09:28:08,1528.7,53,0,0,2411,12.63,P0,0x0000000000000000,72030504,39834760,48294528,3680,8,0.30,0.00,0.00,0.82,50,55,54,55,55,55,55,55
2026-08-28 09:28:09,1529.7,53,0,0,2411,12.61,P0,0x0000000000000000,72030448,39834572,48290596,3808,128,0.25,0.00,0.00,0.82,50,55,55,55,55,55,55,55
2026-08-28 09:28:10,1530.7,53,0,0,2411,12.65,P0,0x0000000000000000,72013028,39817100,48289764,4656,0,0.25,0.00,0.00,0.75,50,56,54,56,55,55,55,55
2026-08-28 09:28:11,1531.7,53,0,0,2411,12.61,P0,0x0000000000000000,72006144,39810204,48289328,4252,0,0.20,0.00,0.00,0.75,50,55,54,55,54,55,55,54
2026-08-28 09:28:12,1532.7,53,0,0,2411,12.64,P0,0x0000000000000000,72006184,39810208,48289584,3616,16,0.20,0.00,0.00,0.75,50,55,54,54,54,55,55,55
2026-08-28 09:28:13,1533.7,53,0,0,2411,12.57,P0,0x0000000000000000,72002744,39806684,48289616,7648,0,1.25,0.00,0.00,0.75,50,55,54,54,54,55,55,55
2026-08-28 09:28:14,1534.7,53,0,0,2411,12.58,P0,0x0000000000000000,72004144,39808064,48289616,4072,4,1.25,0.00,0.00,0.75,50,55,54,54,54,55,55,55
2026-08-28 09:28:15,1535.7,53,0,0,2411,12.59,P0,0x0000000000000000,72028456,39832280,48289620,5684,4,1.02,0.00,0.00,0.85,50,55,54,55,55,55,55,55
2026-08-28 09:28:16,1536.7,53,0,0,2411,12.59,P0,0x0000000000000000,72017752,39821572,48290900,7688,0,1.02,0.00,0.00,0.85,50,55,54,55,55,55,55,55
2026-08-28 09:28:17,1537.7,53,0,0,2411,12.60,P0,0x0000000000000000,72011824,39815628,48289892,1444,84,0.84,0.00,0.00,0.85,50,55,54,55,54,55,55,55
2026-08-28 09:28:18,1538.7,53,0,0,2411,12.61,P0,0x0000000000000000,72024976,39828764,48289892,3228,0,0.84,0.00,0.00,0.85,50,55,54,54,54,55,55,55
2026-08-28 09:28:19,1539.7,53,0,0,2411,12.58,P0,0x0000000000000000,72042636,39846396,48290228,3280,0,0.68,0.00,0.00,0.85,50,55,54,54,55,55,55,55
2026-08-28 09:28:20,1540.7,53,0,0,2411,12.59,P0,0x0000000000000000,72041716,39845404,48290228,4736,136,0.68,0.00,0.00,0.86,50,55,54,54,54,55,55,55
2026-08-28 09:28:21,1541.7,53,0,0,2411,12.56,P0,0x0000000000000000,72032096,39841172,48290228,4152,4,0.56,0.00,0.00,0.86,50,55,54,54,54,55,55,55
2026-08-28 09:28:22,1542.7,53,0,0,2411,12.53,P0,0x0000000000000000,72035448,39844436,48290236,3012,4,0.56,0.00,0.00,0.86,50,55,54,54,54,55,55,55
2026-08-28 09:28:23,1543.7,53,0,0,2411,12.54,P0,0x0000000000000000,72063928,39872884,48290228,5936,0,0.46,0.00,0.00,0.86,50,56,55,55,55,56,55,55
2026-08-28 09:28:24,1544.7,53,0,0,2411,12.57,P0,0x0000000000000000,72049344,39858256,48290228,508,192,0.46,0.00,0.00,0.86,50,55,54,55,55,55,55,55
2026-08-28 09:28:25,1545.7,53,0,0,2411,12.55,P0,0x0000000000000000,72049536,39858436,48290220,2716,0,0.37,0.00,0.00,0.79,50,55,54,55,54,55,55,55
2026-08-28 09:28:26,1546.7,53,0,0,2411,12.57,P0,0x0000000000000000,72091232,39900104,48290204,1424,0,0.37,0.00,0.00,0.79,50,55,54,55,54,55,55,55
2026-08-28 09:28:27,1547.7,53,0,0,2411,12.53,P0,0x0000000000000000,72072316,39881140,48290212,3876,0,0.30,0.00,0.00,0.79,50,55,54,54,55,55,55,55
2026-08-28 09:28:28,1548.7,53,0,0,2411,12.52,P0,0x0000000000000000,72041160,39849956,48290244,736,0,0.30,0.00,0.00,0.79,50,55,54,54,55,55,55,55
2026-08-28 09:28:29,1549.7,53,0,0,2411,12.56,P0,0x0000000000000000,72040932,39849696,48291588,5084,0,0.25,0.00,0.00,0.79,50,55,54,54,55,55,55,55
2026-08-28 09:28:30,1550.7,53,0,0,2411,12.52,P0,0x0000000000000000,72057196,39865880,48291600,2412,8,0.25,0.00,0.00,0.73,50,55,54,54,54,55,55,55
2026-08-28 09:28:31,1551.7,53,0,0,2411,12.52,P0,0x0000000000000000,72046980,39855648,48291600,3852,0,0.20,0.00,0.00,0.73,50,55,54,54,55,55,55,55
2026-08-28 09:28:32,1552.7,53,0,0,2411,12.53,P0,0x0000000000000000,72059700,39868260,48291608,5224,0,0.20,0.00,0.00,0.73,50,55,54,55,55,55,55,55
