request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc56_q0,True,3.029193162918091,6.73044753074646,16022,128,34.5828703675671,1787895037.9498801,1787895040.9790733,1787895044.6803277,
doc251_q2,True,5.133699178695679,6.8238818645477295,16024,128,75.73145854081031,1787895037.9510987,1787895043.0847979,1787895044.7749805,
doc206_q2,True,2.8346145153045654,6.32358193397522,16024,128,36.68707231687758,1787895044.6806433,1787895047.5152578,1787895051.0042253,
doc42_q2,True,4.829875707626343,6.322812557220459,16023,128,85.73704911550631,1787895044.775101,1787895049.6049767,1787895051.0979135,
doc185_q0,True,2.8552443981170654,6.296095848083496,16023,128,37.20009476179182,1787895051.0045068,1787895053.8597512,1787895057.3006027,
doc161_q2,True,4.801789045333862,6.3004231452941895,16024,128,85.4111086911665,1787895051.098018,1787895055.899807,1787895057.398441,
doc177_q0,True,2.8156521320343018,6.289651393890381,16023,128,36.84514311946413,1787895057.3008916,1787895060.1165438,1787895063.590543,
doc76_q2,True,4.790224075317383,6.295482397079468,16023,128,85.03523823748783,1787895057.398556,1787895062.18878,1787895063.6940384,
doc188_q0,True,2.8058056831359863,4.301210880279541,16023,128,85.59552972298006,1787895063.5908678,1787895066.3966734,1787895067.8920786,
doc317_q2,True,2.7173006534576416,4.207486867904663,16024,128,85.89530540483376,1787895063.6941543,1787895066.411455,1787895067.9016411,
doc169_q1,True,2.815505266189575,4.514950513839722,16024,128,75.3186960138833,1787895067.8924205,1787895070.7079258,1787895072.407371,
doc318_q0,True,2.8230857849121094,4.516005516052246,16023,128,75.60901893074126,1787895067.901741,1787895070.7248268,1787895072.4177465,
doc49_q0,True,2.8170580863952637,6.286927223205566,16022,128,36.88899925420955,1787895072.4178479,1787895075.234906,1787895078.704775,
doc275_q2,True,4.894766330718994,6.39133095741272,16024,128,85.52921652490414,1787895072.4076548,1787895077.302421,1787895078.7989857,
doc100_q2,True,2.83440899848938,6.297581434249878,16024,128,36.9603311340435,1787895078.7049706,1787895081.5393796,1787895085.002552,
doc222_q2,True,4.804582118988037,6.29597544670105,16024,128,85.82578292493938,1787895078.7991147,1787895083.6036968,1787895085.0950902,
doc190_q1,True,2.811131000518799,6.486915588378906,16024,128,34.822497603026406,1787895085.0028722,1787895087.8140032,1787895091.4897878,
doc33_q0,True,4.79704213142395,6.49208927154541,16022,128,75.51412404425994,1787895085.0952208,1787895089.892263,1787895091.58731,
doc298_q0,True,0.5539531707763672,4.433287143707275,16023,128,32.99535458745091,1787895091.4900827,1787895092.044036,1787895095.92337,
doc228_q1,True,2.777204751968384,4.447275400161743,16024,128,76.64346423815495,1787895091.5874329,1787895094.3646376,1787895096.0347083,
doc316_q0,True,0.5687427520751953,4.448832988739014,16023,128,32.98892350247427,1787895095.9236608,1787895096.4924035,1787895100.3724937,
doc140_q1,True,2.7569735050201416,4.449658155441284,16024,128,75.61951954142988,1787895096.034835,1787895098.7918086,1787895100.4844933,
doc198_q0,True,2.784076690673828,4.4998133182525635,16023,128,74.60352477328345,1787895100.3728125,1787895103.1568892,1787895104.8726258,
doc76_q0,True,2.6871511936187744,4.395877361297607,16022,128,74.90960366919276,1787895100.4846046,1787895103.1717558,1787895104.880482,
doc85_q0,True,2.796724557876587,6.462374210357666,16022,128,34.91877624294066,1787895104.8805823,1787895107.677307,1787895111.3429565,
doc27_q1,True,4.8665382862091064,6.566428184509277,16023,128,75.29899443957837,1787895104.8729515,1787895109.7394898,1787895111.4393797,
doc8_q1,True,2.7796342372894287,6.426916599273682,16022,128,35.09462314575595,1787895111.3432724,1787895114.1229067,1787895117.770189,
doc145_q1,True,4.732398748397827,6.428322076797485,16024,128,75.47511014002383,1787895111.4395087,1787895116.1719074,1787895117.8678308,
doc149_q0,True,2.8106796741485596,6.50285005569458,16023,128,34.66795591009606,1787895117.7704532,1787895120.581133,1787895124.2733033,
doc159_q1,True,4.800022602081299,6.509154796600342,16024,128,74.89180790724016,1787895117.8679109,1787895122.6679335,1787895124.3770657,
